case,cvar,value,runs,avg_fps,low_1_fps,low_01_fps,p99_frame_ms,delta_avg_fps_pct,fps_cv_pct,round_1_fps,round_2_fps,round_3_fps,quality_notes
baseline,,,3,278.24127292035587,145.64562832822378,117.04963693735824,6.3525481333333325,0.0,0.6648266859421875,280.25200320117574,276.6117562762535,277.86005928363835,"Replay progression and camera require operator review; demo_info describes the file, not current playback state."
pv8-fallback-base-10,cl_particle_fallback_base,10,3,278.4706005784058,146.25393302533044,115.95753456824339,6.308759333333334,0.08242043160706647,1.1808477321730233,274.6881494038584,280.6495843893099,280.0740679420492,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_base: no readback; this game build may ignore or reject the setting."
pv8-fallback-base-2,cl_particle_fallback_base,2,3,277.5756419229693,143.4412065551206,110.50489320504441,6.4097057,-0.23922798742267437,0.16611146799801985,277.04798756491056,277.77794665325933,277.9009915507379,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_base: no readback; this game build may ignore or reject the setting."
pv8-fallback-base-20,cl_particle_fallback_base,20,3,276.795385505469,144.37584978797278,114.03776304181251,6.322206633333335,-0.519652386474212,0.12881200233473952,276.7051588909824,276.49262068844644,277.1883769369783,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_base: no readback; this game build may ignore or reject the setting."
pv8-fallback-base-5,cl_particle_fallback_base,5,3,278.7874975495234,145.44804820122272,115.26266933926193,6.344689533333334,0.19631330155820415,0.5849332591111355,279.045037336131,277.04333134066087,280.2741239717784,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_base: no readback; this game build may ignore or reject the setting."
pv8-fallback-mult-10,cl_particle_fallback_multiplier,10,3,279.078586037559,145.48421701690782,114.83212060818092,6.318991733333334,0.3009305946651608,0.8714473931865715,279.4595722604385,281.2976309113524,276.478554940886,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_multiplier: no readback; this game build may ignore or reject the setting."
pv8-fallback-mult-2,cl_particle_fallback_multiplier,2,3,278.6402338539828,143.98340379823404,114.26470083828265,6.3195619,0.1433866835928166,0.32160003090551637,279.0036454616316,277.61950665701573,279.29754944330114,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_multiplier: no readback; this game build may ignore or reject the setting."
pv8-fallback-mult-20,cl_particle_fallback_multiplier,20,3,278.5590797736604,143.45942098129714,115.15482727273378,6.3538718,0.11421988189204146,0.4496751951583517,278.423261149776,277.379912701482,279.8740654697233,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_multiplier: no readback; this game build may ignore or reject the setting."
pv8-fallback-mult-5,cl_particle_fallback_multiplier,5,3,274.5585499803172,143.3371902687008,115.31057568852084,6.409651333333333,-1.323571769703924,0.6518631874405738,276.61831960145224,273.3830527111794,273.67427762832,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_multiplier: no readback; this game build may ignore or reject the setting."
pv8-object-size-04,r_size_cull_threshold,0.4,3,269.87038657966406,139.72515771476017,114.64789079615427,6.616070733333333,-3.0084991535701877,0.4521143874134341,270.0598267103581,270.984709145817,268.566623882817,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_size_cull_threshold: no readback; this game build may ignore or reject the setting."
pv8-object-size-10,r_size_cull_threshold,1.0,3,280.590896657898,146.79627759175412,116.25611453925518,6.2743283666666665,0.8444555018315647,0.9587819921216075,277.61345287031264,282.8468168787159,281.31242022466535,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_size_cull_threshold: no readback; this game build may ignore or reject the setting."
pv8-object-size-16,r_size_cull_threshold,1.6,3,294.24209364706445,153.06451022723448,117.80366312981936,5.918341399999998,5.750699944248994,0.7069046559855152,292.65727613488616,296.59741989904427,293.4715849072629,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_size_cull_threshold: no readback; this game build may ignore or reject the setting."
pv8-object-size-24,r_size_cull_threshold,2.4,3,304.2870747914952,157.86521289790957,124.0691573943745,5.720202466666667,9.360869290802398,0.68533043034666,302.09827834191174,304.5121896229506,306.25075640962314,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_size_cull_threshold: no readback; this game build may ignore or reject the setting."
pv8-particle-count-1000,cl_particle_max_count,1000,3,250.5653637643229,137.29994759742388,111.07428220374582,6.6996574666666655,-9.946730355835797,0.4692994902700824,251.82096862841576,250.3851524108472,249.48997025370582,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_max_count: no readback; this game build may ignore or reject the setting."
pv8-particle-count-2000,cl_particle_max_count,2000,3,276.31665411172247,143.80056664945735,114.96188339932046,6.399610466666665,-0.6917085982367177,0.45601036138201206,276.4678539767467,274.9878438873731,277.49426447104764,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_max_count: no readback; this game build may ignore or reject the setting."
