case,cvar,value,runs,rounds,mean_avg_fps,delta_vs_three_baseline_mean_pct,mean_1pct_low_fps,mean_01pct_low_fps,mean_p99_ms,run_cv_pct,variance_flag,run_avg_fps,quality_notes
baseline,,,3,1+2+3,274.138875719316,0.0,139.76603815705423,111.81004170048779,6.532790466666666,0.33,False,273.2/273.9/275.4,"Replay progression and camera require operator review; demo_info describes the file, not current playback state."
tf100-001-cl-interp-parallel,cl_interp_parallel,1,3,1+2+3,278.89921642440635,1.7364704997055336,145.1379458068811,113.69727436223731,6.356003766666667,0.5,False,277.0/279.4/280.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_interp_parallel: no readback; this game build may ignore or reject the setting."
tf100-002-cl-batch-entity-list-ops-during-latch,cl_batch_entity_list_ops_during_latch,1,3,1+2+3,277.8620762564799,1.3581439434281473,144.49060525452634,115.2780816406693,6.357100433333336,0.97,False,274.0/279.6/280.0,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_batch_entity_list_ops_during_latch: no readback; this game build may ignore or reject the setting."
tf100-003-r-particle-batch-collections,r_particle_batch_collections,1,3,1+2+3,275.9052646787031,0.6443409220061369,143.49003979091455,116.29326068746168,6.430964033333333,0.29,False,274.9/276.0/276.8,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_batch_collections: no readback; this game build may ignore or reject the setting."
tf100-004-r-limit-particle-job-duration,r_limit_particle_job_duration,1,3,1+2+3,276.51815240787937,0.8679092603412597,143.94393008394638,115.8692248774784,6.420570833333334,0.31,False,275.6/276.3/277.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_limit_particle_job_duration: no readback; this game build may ignore or reject the setting."
tf100-005-r-particle-skip-postsim,r_particle_skip_postsim,1,3,1+2+3,275.56806771891667,0.5213386812981557,143.98807166820828,114.66656089781623,6.408385833333331,1.08,True,271.6/276.2/278.9,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_skip_postsim: no readback; this game build may ignore or reject the setting."
tf100-006-r-update-particles-on-render-only-frames,r_update_particles_on_render_only_frames,1,3,1+2+3,275.0134376647953,0.31902149710962835,143.32041781544726,114.42570855347144,6.411836066666666,0.34,False,274.1/274.6/276.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_update_particles_on_render_only_frames: no readback; this game build may ignore or reject the setting."
tf100-007-r-physics-particle-op-spawn-scale,r_physics_particle_op_spawn_scale,0,3,1+2+3,277.4061476746383,1.1918309458114118,143.68657775624263,114.76674574976214,6.410763966666665,0.98,False,273.7/278.4/280.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_physics_particle_op_spawn_scale: no readback; this game build may ignore or reject the setting."
tf100-008-cl-particle-sim-fallback-threshold-ms,cl_particle_sim_fallback_threshold_ms,2,3,1+2+3,275.78202424763646,0.5993854479810601,143.39298036085083,113.70273983772104,6.435432133333333,0.17,False,275.2/275.9/276.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_threshold_ms: no readback; this game build may ignore or reject the setting."
tf100-009-cl-particle-sim-fallback-base-multiplier,cl_particle_sim_fallback_base_multiplier,100,3,1+2+3,276.53364623624407,0.8735610776269498,141.48959281189198,112.03723916838646,6.471642133333332,0.69,False,273.9/277.5/278.3,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_sim_fallback_base_multiplier: no readback; this game build may ignore or reject the setting."
tf100-010-cl-particle-fallback-base,cl_particle_fallback_base,10,3,1+2+3,274.6852214423725,0.19929523735842114,143.0539540849372,115.46067826337658,6.437601900000001,0.72,False,272.2/274.8/277.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_base: no readback; this game build may ignore or reject the setting."
tf100-011-cl-particle-fallback-multiplier,cl_particle_fallback_multiplier,10,3,1+2+3,274.8278933678972,0.2513389050616377,143.3079778106381,112.28665760714857,6.420610166666667,0.19,False,274.2/274.8/275.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_fallback_multiplier: no readback; this game build may ignore or reject the setting."
tf100-012-r-particle-max-detail-level,r_particle_max_detail_level,1,3,1+2+3,275.64387777976395,0.5489925704623255,142.64881814677483,112.17734881325055,6.389211633333332,0.14,False,275.4/275.4/276.2,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_detail_level: no readback; this game build may ignore or reject the setting."
tf100-013-cl-particle-max-count,cl_particle_max_count,500,3,1+2+3,248.85236659778832,-9.223977830644458,137.5243739015282,112.93851918427622,6.732640733333334,0.25,False,248.0/249.1/249.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | cl_particle_max_count: no readback; this game build may ignore or reject the setting."
tf100-014-r-particle-min-timestep,r_particle_min_timestep,0.001,3,1+2+3,276.41485940102433,0.8302301801363932,143.60425535001596,116.19164775127882,6.426128366666666,0.68,False,273.8/277.4/278.1,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_min_timestep: no readback; this game build may ignore or reject the setting."
tf100-015-r-particle-model-per-thread-count,r_particle_model_per_thread_count,64,3,1+2+3,274.80755045614956,0.24391824584493182,143.47157385947742,117.19611956889752,6.432255266666666,0.54,False,273.0/274.7/276.7,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_model_per_thread_count: no readback; this game build may ignore or reject the setting."
tf100-016-r-particle-allowprerender,r_particle_allowprerender,0,3,1+2+3,268.880069993034,-1.9182998808481067,140.9469188651972,112.47237218608694,6.5564833333333326,0.95,False,266.9/267.3/272.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_allowprerender: no readback; this game build may ignore or reject the setting."
tf100-017-r-particle-max-size-cull,r_particle_max_size_cull,1600,3,1+2+3,274.9371448413804,0.29119150648364567,142.51132063528317,113.76259933552141,6.466263599999999,0.25,False,274.0/275.4/275.5,"Replay progression and camera require operator review; demo_info describes the file, not current playback state. | Whole GameInfo swap: file application verified, individual cvar effects and replay fidelity require review. | r_particle_max_size_cull: no readback; this game build may ignore or reject the setting."
